danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,clusterIndex
94,81,77,54,99,99,100,97,90,68,1
92,82,98,36,99,99,100,97,87,15,3
95,78,29,5,99,99,99,99,96,93,2
84,85,77,91,99,99,99,99,79,90,1
90,84,29,97,99,99,99,99,97,31,0
86,92,87,96,97,99,99,99,96,25,0
82,91,50,89,99,99,99,99,91,94,2
94,78,50,51,96,99,100,94,84,15,3
87,87,100,0,97,99,100,99,93,56,1
82,93,100,89,99,92,99,99,86,1,0
88,94,100,1,99,86,100,99,95,39,3
89,92,64,98,99,90,99,99,92,90,1
89,94,77,8,99,90,100,99,89,61,1
90,90,50,94,99,99,99,99,95,10,0
94,87,77,95,99,95,100,99,93,71,1
96,90,8,88,99,99,99,99,87,35,0
89,84,100,56,99,99,99,99,86,57,1
93,82,29,98,99,99,99,98,93,25,0
92,87,100,7,99,99,100,99,84,69,1
89,92,77,82,99,99,99,99,99,25,0
85,88,29,25,99,99,99,99,98,89,2
89,89,4,57,99,99,99,99,95,89,2
89,85,87,94,99,97,99,99,93,75,1
90,83,87,46,99,99,100,90,81,5,3
91,82,4,83,99,99,100,98,97,91,2
90,84,98,61,99,99,99,98,93,89,1
93,80,29,85,99,99,100,98,89,95,2
91,93,8,0,99,99,99,99,97,0,3
92,84,8,20,99,99,99,99,91,3,3
86,95,8,28,99,95,96,99,91,70,2
84,91,50,64,99,99,99,95,82,96,2
87,80,42,5,99,99,99,99,83,98,2
84,88,87,73,99,99,99,99,87,5,0
91,80,29,19,99,99,99,99,95,14,3
92,82,17,19,99,99,99,98,97,19,3
88,90,42,61,99,99,99,99,92,5,0
88,84,50,68,99,99,99,99,88,65,2
85,89,50,59,99,90,100,99,85,13,0
86,85,50,98,99,99,99,97,89,93,2
89,83,100,94,99,99,99,96,89,2,0
93,81,29,55,99,99,99,99,98,96,2
94,88,100,98,99,98,99,97,95,26,0
81,91,50,9,99,95,99,99,87,80,2
85,82,100,9,99,98,99,99,78,27,3
89,85,29,21,99,99,100,98,89,91,2
88,81,98,17,99,99,100,98,80,10,3
92,93,64,62,99,99,99,98,95,1,0
93,94,100,52,99,99,99,99,96,1,0
84,88,42,2,99,99,99,99,80,96,2
88,83,100,44,99,96,99,99,82,87,1
93,82,50,68,99,99,99,99,95,4,0
93,87,50,96,99,98,100,99,94,43,0
89,87,87,80,99,99,99,99,87,93,1
89,79,42,14,99,99,100,99,81,27,3
97,81,29,73,99,99,100,96,91,89,2
96,96,77,15,99,88,95,97,99,57,1
98,95,50,97,99,99,99,99,99,21,0
89,95,87,0,99,99,100,99,97,0,3
87,85,8,97,99,99,100,99,81,0,0
83,93,98,48,99,97,99,99,92,96,1
85,86,17,83,99,99,100,99,81,96,2
90,81,77,65,99,98,100,99,82,83,1
89,81,77,36,99,99,100,99,85,3,3
86,86,17,55,99,99,100,97,92,0,3
89,88,98,65,99,99,99,99,91,99,1
86,79,29,60,99,99,99,98,85,99,2
91,80,87,60,99,99,100,99,92,0,0
88,82,100,55,99,99,99,97,88,98,1
89,89,50,47,99,99,99,99,94,1,3
87,87,17,2,99,99,99,96,94,99,2
88,94,100,72,99,99,100,99,92,43,1
91,94,100,10,99,89,99,99,93,89,1
81,93,64,92,99,99,100,99,88,73,1
89,88,77,62,99,99,100,99,94,6,0
88,91,98,70,99,99,100,97,95,92,1
90,82,8,2,99,99,100,97,82,99,2
85,86,77,63,99,99,100,97,80,94,1
84,85,77,98,99,98,99,99,83,92,1
88,87,4,99,99,99,100,99,95,87,2
83,89,29,0,99,95,95,97,95,0,3
87,85,50,35,98,98,100,95,92,47,3
90,81,8,34,99,99,100,99,81,19,3
91,84,64,24,99,97,99,93,95,1,3
85,89,98,73,99,99,99,99,98,91,1
87,87,64,95,99,99,99,99,78,16,0
84,81,4,8,99,99,99,99,78,24,3
86,93,50,90,99,95,99,99,93,84,2
89,91,87,34,99,99,100,97,93,0,3
82,82,77,99,99,99,99,99,84,12,0
81,95,50,99,99,93,99,99,85,99,2
92,85,77,65,99,97,100,99,97,79,1
88,80,0,8,99,99,99,84,80,35,3
86,82,4,94,99,99,99,91,84,5,0
91,84,100,91,99,99,100,99,95,60,1
91,88,8,88,99,98,99,99,96,3,0
89,78,0,2,99,99,99,99,95,15,3
92,79,64,87,99,99,100,99,92,9,0
91,85,50,79,99,99,100,99,84,58,0
94,84,50,74,99,99,99,99,98,18,0
89,84,98,92,99,99,100,99,92,44,0
89,79,42,0,99,99,100,97,93,1,3
89,86,87,5,99,99,100,97,92,17,3
97,95,77,9,99,96,99,97,98,11,3
90,86,50,66,99,99,100,99,83,57,0
86,88,8,49,99,99,99,99,86,5,3
89,80,17,17,99,99,99,99,91,18,3
95,83,29,99,98,99,99,89,94,7,0
95,82,100,20,99,99,99,97,97,14,3
86,87,87,29,99,99,100,99,88,88,1
86,83,87,19,99,99,99,99,95,86,1
90,80,29,0,99,99,99,99,87,16,3
87,85,64,88,99,98,99,98,94,14,0
83,82,98,70,98,99,87,99,90,88,1
87,90,17,91,99,99,99,99,89,97,2
91,81,8,1,99,99,99,99,91,59,3
89,89,29,99,99,99,99,99,98,92,2
89,87,42,94,99,99,99,99,84,2,0
89,84,50,91,99,97,100,97,81,73,2
96,80,77,74,99,99,100,99,98,3,0
87,82,64,88,99,99,99,98,79,24,0
97,79,17,0,99,99,99,98,97,96,2
86,93,64,56,99,99,99,99,89,86,1
87,79,87,10,99,99,100,99,86,89,1
86,85,17,53,99,97,100,97,80,30,3
87,93,98,0,99,99,97,99,86,46,3
92,86,100,92,99,99,100,99,95,2,0
85,91,50,26,99,95,99,97,87,90,2
88,87,42,99,99,99,99,99,89,89,2
80,90,8,43,99,99,99,99,80,97,2
91,79,77,95,99,99,99,96,92,22,0
94,78,17,54,99,99,99,97,88,58,2
90,79,100,12,99,99,100,99,91,3,3
87,82,42,4,99,99,100,96,80,94,2
86,84,100,0,99,99,99,98,87,48,1
81,91,50,70,99,99,100,99,84,6,0
82,89,50,4,99,99,100,98,86,5,3
85,80,29,41,99,99,100,99,83,4,3
85,87,17,98,99,99,100,99,98,60,2
89,96,17,5,99,80,99,99,81,0,3
92,91,42,19,99,99,99,99,97,0,3
93,84,64,15,99,99,100,96,93,56,3
90,80,29,37,99,99,100,99,81,49,3
94,86,77,72,99,99,100,99,95,12,0
93,88,42,64,99,99,99,88,99,38,0
86,94,100,0,99,84,100,99,93,56,1
89,90,98,97,99,99,100,99,93,59,1
90,88,8,39,99,99,100,99,94,98,2
85,90,77,99,99,99,99,99,84,42,0
93,93,100,29,99,94,100,98,90,99,1
86,94,8,1,99,99,99,99,92,99,2
92,81,98,60,99,99,99,99,82,4,0
87,87,64,95,99,99,99,99,78,16,0
88,87,100,67,99,98,100,99,82,93,1
89,84,64,45,99,99,99,98,86,18,3
88,82,50,40,99,99,99,99,79,10,3
87,79,42,86,99,99,99,99,80,98,2
87,84,98,59,99,98,99,96,87,77,1
89,96,4,85,99,98,99,99,87,52,2
90,92,100,89,99,98,100,99,81,99,1
92,79,98,43,99,99,99,92,78,8,3
90,93,0,74,99,99,99,99,83,39,0
88,83,8,81,99,99,99,99,79,0,0
82,93,50,89,99,99,99,99,82,68,0
90,89,4,2,99,99,99,99,81,86,2
86,85,64,89,99,98,85,99,79,66,0
84,95,100,31,99,98,99,99,92,22,3
91,82,8,91,99,99,99,99,79,0,0
87,83,77,8,99,98,99,99,82,92,1
93,83,98,90,99,99,99,99,99,42,0
88,88,77,76,99,99,99,98,98,85,1
91,90,29,9,99,99,100,98,84,15,3
90,77,77,66,99,99,99,96,87,57,1
86,81,100,1,99,97,99,99,77,42,3
88,88,98,94,99,98,100,99,94,53,1
86,83,77,83,99,97,99,96,81,84,1
87,84,4,18,99,92,99,94,86,31,3
88,83,4,76,99,99,99,98,77,98,2
92,83,29,95,99,99,99,99,86,36,0
88,92,64,98,99,97,99,97,87,92,1
92,89,87,86,99,99,99,99,96,0,0
83,85,4,30,99,98,100,99,78,93,2
95,98,100,44,99,93,99,99,97,59,1
81,89,77,85,99,99,99,99,80,18,0
83,85,87,87,99,99,99,99,84,92,1
83,90,17,71,99,99,99,97,80,36,0
86,83,29,99,99,99,100,96,84,98,2
89,89,4,57,99,99,99,99,95,89,2
86,88,100,92,99,98,99,95,80,63,1
85,82,50,99,99,99,100,99,81,0,0
82,88,64,86,99,98,99,99,87,63,0
93,81,64,0,99,99,99,99,96,92,1
89,85,17,80,99,99,99,95,92,4,0
90,82,77,36,99,99,99,99,85,3,3
82,92,29,5,96,98,99,97,85,65,3
96,97,8,9,99,89,99,98,94,36,3
92,84,42,95,99,98,100,97,79,69,0
93,86,17,13,99,99,100,99,81,13,3
83,93,100,72,99,94,99,99,79,94,1
87,84,50,61,99,99,99,99,78,92,2
93,87,8,92,99,96,100,96,91,7,0
85,89,0,42,99,99,99,99,78,96,2
90,87,50,69,99,99,99,99,93,87,2
89,94,77,8,99,90,100,99,89,61,1
89,85,29,87,99,99,99,97,89,36,0
94,94,4,0,99,95,99,98,97,58,3
94,82,4,67,99,99,99,77,78,95,2
87,93,87,99,99,88,96,98,84,86,1
84,94,77,3,99,92,99,99,86,30,3
90,83,87,46,99,99,100,90,81,5,3
85,82,17,99,99,98,99,99,82,4,0
89,83,100,92,99,99,99,99,86,97,1
88,82,50,86,99,99,99,99,86,30,0
93,87,17,65,99,97,100,89,81,99,2
91,92,17,67,99,99,99,99,93,72,2
95,84,17,76,99,99,99,99,97,51,2
91,88,100,0,99,99,99,99,81,4,3
91,80,29,99,99,99,99,99,89,31,0
90,89,29,84,99,99,99,99,97,27,0
87,95,100,1,99,94,99,99,97,50,1
88,89,98,99,99,99,99,99,94,43,0
95,96,0,11,99,90,99,99,96,5,3
89,98,87,44,99,94,100,99,96,99,1
91,96,98,1,99,92,99,99,91,85,1
96,99,8,98,99,79,99,99,99,29,0
89,82,4,66,99,99,99,99,84,99,2
97,89,87,4,99,99,99,96,97,4,3
92,86,98,50,99,99,95,99,84,64,1
92,86,29,6,99,99,100,99,95,95,2
93,80,98,91,99,96,99,99,85,81,1
87,81,50,51,99,99,99,97,84,10,3
89,87,8,81,99,98,100,99,81,20,0
95,83,17,92,99,99,99,99,96,91,2
